optimized;;;;;;;;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;;
file_name;lower_bound;upper_bound;variables;clauses;consistency_clauses;pb_clauses;zero_literal;one_literals;two_literals;three_literals;four_literals;five_to_ten_literals;more_than_ten_literals;feasible;makespan;total_solving_time;optimized;timeout
data_set/pack/Pack001.rcp;9;23;7600;31074;1080;12060;0;193;10194;5150;0;0;0;1;23;0,024;0;1
data_set/pack/Pack002.rcp;14;32;14756;60876;2180;23955;0;257;19627;10554;0;0;0;1;32;0,47028;0;1
data_set/pack/Pack003.rcp;10;29;12758;52912;1922;20709;0;235;17109;9112;0;0;0;1;29;0,322;0;1
data_set/pack/Pack004.rcp;11;44;16840;70690;2980;26672;0;319;23622;11404;0;0;0;1;44;0,27866;0;1
data_set/pack/Pack005.rcp;11;42;13311;56070;2598;20436;0;303;18651;9081;0;0;0;1;42;0,03401;1;0
data_set/pack/Pack006.rcp;11;48;13827;59152;3237;21158;0;335;19569;9672;0;0;0;1;47;0,25925;1;0
data_set/pack/Pack007.rcp;18;41;6597;28420;2056;9186;0;283;9501;4426;0;0;0;1;41;0,02523;1;0
data_set/pack/Pack008.rcp;10;44;12693;54294;2978;19586;0;309;18546;8292;0;0;0;1;44;0,13144;1;0
data_set/pack/Pack009.rcp;12;72;22037;95244;5238;33305;0;483;32814;14325;0;0;0;1;72;0,18262;0;1
data_set/pack/Pack010.rcp;16;39;10654;44536;2145;16369;0;279;14668;7321;0;0;0;1;38;0,03601;1;0
data_set/pack/Pack011.rcp;10;45;16608;70530;3334;25825;0;327;23487;11451;0;0;0;1;44;0,08775;0;1
data_set/pack/Pack012.rcp;9;46;18036;76438;3544;28324;0;333;25415;12471;0;0;0;1;45;0,99209;0;1
data_set/pack/Pack013.rcp;11;37;7973;33940;1978;11694;0;263;11399;5308;0;0;0;1;36;0,04378;1;0
data_set/pack/Pack014.rcp;14;47;16219;68874;3413;25278;0;335;22744;11358;0;0;0;1;45;0,47547;0;1
data_set/pack/Pack015.rcp;12;45;13698;58390;3046;21308;0;317;19712;9166;0;0;0;1;43;0,0965;0;1
data_set/pack/Pack016.rcp;12;64;36370;154672;6604;59351;0;455;51140;25741;0;0;0;1;63;0,76563;0;1
data_set/pack/Pack017.rcp;12;63;34684;148026;6612;55769;0;451;48895;24667;0;0;0;1;62;1,41654;0;1
data_set/pack/Pack018.rcp;16;61;32444;138208;6211;52781;0;435;45996;22673;0;0;0;1;60;0,9085;0;1
