file name,Model constraint,Status,Solve time (second)
j3010_1.data,N/A,unknown,1.09
j3010_10.data,N/A,unknown,0.67
j3010_2.data,N/A,unknown,0.87
j3010_3.data,N/A,unknown,0.98
j3010_4.data,N/A,unknown,0.84
j3010_5.data,N/A,unknown,0.70
j3010_6.data,N/A,unknown,0.68
j3010_7.data,N/A,unknown,0.75
j3010_8.data,N/A,unknown,0.81
j3010_9.data,N/A,unknown,0.82
j3011_1.data,N/A,unknown,0.87
j3011_10.data,N/A,unknown,0.67
j3011_2.data,N/A,unknown,0.85
j3011_3.data,N/A,unknown,1.20
j3011_4.data,N/A,unknown,0.87
j3011_5.data,N/A,unknown,0.77
j3011_6.data,N/A,unknown,0.74
j3011_7.data,N/A,unknown,0.64
