file name,Model constraint,Status,Solve time (second)
j6010_1.data,85,optimal,0.05
j6010_10.data,73,optimal,0.04
j6010_2.data,62,optimal,0.04
j6010_3.data,72,optimal,0.05
j6010_4.data,80,optimal,0.05
j6010_5.data,79,optimal,0.04
j6010_6.data,67,optimal,0.04
j6010_7.data,69,optimal,0.04
j6010_8.data,65,optimal,0.04
j6010_9.data,73,optimal,0.05
j6011_1.data,71,optimal,0.04
j6011_10.data,58,optimal,0.04
j6011_2.data,61,optimal,0.04
j6011_3.data,76,optimal,0.04
j6011_4.data,69,optimal,0.04
j6011_5.data,65,optimal,0.04
j6011_6.data,70,optimal,0.04
j6011_7.data,70,optimal,0.04
j6011_8.data,69,optimal,0.04
j6011_9.data,62,optimal,0.04
j6012_1.data,59,optimal,0.04
j6012_10.data,79,optimal,0.04
j6012_2.data,58,optimal,0.05
j6012_3.data,75,optimal,0.04
j6012_4.data,69,optimal,0.04
j6012_5.data,63,optimal,0.04
j6012_6.data,54,optimal,0.04
j6012_7.data,71,optimal,0.04
j6012_8.data,60,optimal,0.04
j6012_9.data,59,optimal,0.04
j6013_1.data,N/A,unknown,71.59
j6013_10.data,N/A,unknown,11.55
j6013_2.data,N/A,unknown,13.81
j6013_3.data,N/A,unknown,0.46
j6013_4.data,N/A,unknown,86.29
j6013_5.data,N/A,unknown,900.03
j6013_6.data,N/A,unknown,22.83
j6013_7.data,N/A,unknown,16.88
j6013_8.data,N/A,unknown,33.63
j6013_9.data,N/A,unknown,20.15
j6014_1.data,61,optimal,28.98
j6014_10.data,72,optimal,109.39
j6014_2.data,65,optimal,0.05
j6014_3.data,61,optimal,153.08
j6014_4.data,65,optimal,10.22
j6014_5.data,59,optimal,0.04
j6014_6.data,65,optimal,0.04
j6014_7.data,69,optimal,0.04
j6014_8.data,88,optimal,0.05
j6014_9.data,61,optimal,0.04
j6015_1.data,84,optimal,0.05
j6015_10.data,61,optimal,0.05
j6015_2.data,89,optimal,0.05
j6015_3.data,72,optimal,0.05
j6015_4.data,75,optimal,0.04
j6015_5.data,70,optimal,0.04
j6015_6.data,76,optimal,0.04
j6015_7.data,64,optimal,0.04
j6015_8.data,79,optimal,0.05
j6015_9.data,72,optimal,0.05
j6016_1.data,64,optimal,0.04
j6016_10.data,68,optimal,0.04
j6016_2.data,64,optimal,0.04
j6016_3.data,53,optimal,0.04
j6016_4.data,60,optimal,0.05
j6016_5.data,66,optimal,0.04
j6016_6.data,66,optimal,0.05
j6016_7.data,82,optimal,0.04
j6016_8.data,68,optimal,0.05
j6016_9.data,54,optimal,0.04
j6017_1.data,86,optimal,0.04
j6017_10.data,72,optimal,0.04
j6017_2.data,69,optimal,0.04
j6017_3.data,89,optimal,0.04
j6017_4.data,71,optimal,0.04
j6017_5.data,59,optimal,0.10
j6017_6.data,69,optimal,0.06
j6017_7.data,83,optimal,0.04
j6017_8.data,85,optimal,0.74
j6017_9.data,76,optimal,0.04
j6018_1.data,81,optimal,0.04
j6018_10.data,97,optimal,0.04
j6018_2.data,69,optimal,0.04
j6018_3.data,77,optimal,0.04
j6018_4.data,71,optimal,0.04
j6018_5.data,80,optimal,0.04
j6018_6.data,61,optimal,0.04
j6018_7.data,93,optimal,0.04
j6018_8.data,78,optimal,0.04
j6018_9.data,69,optimal,0.04
j6019_1.data,62,optimal,0.04
j6019_10.data,78,optimal,0.04
j6019_2.data,83,optimal,0.04
j6019_3.data,83,optimal,0.04
j6019_4.data,67,optimal,0.04
j6019_5.data,73,optimal,0.04
j6019_6.data,69,optimal,0.04
j6019_7.data,60,optimal,0.04
j6019_8.data,87,optimal,0.04
j6019_9.data,69,optimal,0.04
j601_1.data,77,optimal,0.04
j601_10.data,80,optimal,0.04
j601_2.data,68,optimal,0.03
j601_3.data,68,optimal,0.04
j601_4.data,91,optimal,0.17
j601_5.data,73,optimal,0.42
j601_6.data,66,optimal,0.41
j601_7.data,72,optimal,0.83
j601_8.data,75,optimal,0.04
j601_9.data,85,optimal,0.06
j6020_1.data,60,optimal,0.04
j6020_10.data,70,optimal,0.04
j6020_2.data,78,optimal,0.04
j6020_3.data,69,optimal,0.04
j6020_4.data,86,optimal,0.04
j6020_5.data,71,optimal,0.03
j6020_6.data,97,optimal,0.04
j6020_7.data,74,optimal,0.04
j6020_8.data,65,optimal,0.04
j6020_9.data,74,optimal,0.03
j6021_1.data,103,optimal,2.63
j6021_10.data,80,optimal,2.19
j6021_2.data,108,optimal,1.25
j6021_3.data,87,optimal,0.93
j6021_4.data,95,optimal,3.93
j6021_5.data,89,optimal,5.72
j6021_6.data,84,optimal,2.55
j6021_7.data,103,optimal,1.88
j6021_8.data,110,optimal,2.66
j6021_9.data,89,optimal,13.02
j6022_1.data,64,optimal,0.04
j6022_10.data,70,optimal,0.04
j6022_2.data,83,optimal,0.04
j6022_3.data,70,optimal,0.04
j6022_4.data,73,optimal,0.57
j6022_5.data,76,optimal,0.04
j6022_6.data,79,optimal,0.04
j6022_7.data,69,optimal,0.04
j6022_8.data,59,optimal,0.04
j6022_9.data,65,optimal,0.04
j6023_1.data,75,optimal,0.04
j6023_10.data,68,optimal,0.04
j6023_2.data,69,optimal,0.04
j6023_3.data,78,optimal,0.04
j6023_4.data,83,optimal,0.04
j6023_5.data,72,optimal,0.04
j6023_6.data,81,optimal,0.04
j6023_7.data,60,optimal,0.04
j6023_8.data,72,optimal,0.04
j6023_9.data,64,optimal,0.04
j6024_1.data,65,optimal,0.04
j6024_10.data,66,optimal,0.04
j6024_2.data,55,optimal,0.04
j6024_3.data,67,optimal,0.04
j6024_4.data,78,optimal,0.04
j6024_5.data,76,optimal,0.04
j6024_6.data,75,optimal,0.04
j6024_7.data,68,optimal,0.04
j6024_8.data,81,optimal,0.04
j6024_9.data,80,optimal,0.04
j6025_1.data,114,feasible,900.04
j6025_10.data,N/A,unknown,900.03
j6025_2.data,N/A,unknown,901.37
j6025_3.data,113,optimal,124.51
j6025_4.data,108,feasible,900.04
j6025_5.data,N/A,unknown,722.87
j6025_6.data,N/A,unknown,670.26
j6025_7.data,N/A,unknown,900.03
j6025_8.data,N/A,unknown,900.03
j6025_9.data,99,optimal,199.32
j6026_1.data,80,optimal,0.04
j6026_10.data,85,optimal,0.04
j6026_2.data,66,optimal,0.04
j6026_3.data,76,optimal,2.49
